CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,Year1
42101,Дорнод,Dornod,Хэрлэн,Kherlen,Гар тэжээл,Handmade fodder,17.69
42101,Дорнод,Dornod,Хэрлэн,Kherlen,Хужир шүү,Mineral fodder,88.77
42104,Дорнод,Dornod,Баяндун,Bayandun,Тэжээлийн ургамал,Fodder crops,8.2
42104,Дорнод,Dornod,Баяндун,Bayandun,"Бэлтгэсэн өвс, хадлан",Hay harvest,6414.7
42104,Дорнод,Dornod,Баяндун,Bayandun,Гар тэжээл,Handmade fodder,0
42104,Дорнод,Dornod,Баяндун,Bayandun,Хужир шүү,Mineral fodder,2
42107,Дорнод,Dornod,Баянтүмэн,Bayantumen,Тэжээлийн ургамал,Fodder crops,1817
42107,Дорнод,Dornod,Баянтүмэн,Bayantumen,"Бэлтгэсэн өвс, хадлан",Hay harvest,13911.4
42107,Дорнод,Dornod,Баянтүмэн,Bayantumen,Гар тэжээл,Handmade fodder,0
42107,Дорнод,Dornod,Баянтүмэн,Bayantumen,Хужир шүү,Mineral fodder,335.1
42110,Дорнод,Dornod,Баян-Уул,Bayan-Uul,"Бэлтгэсэн өвс, хадлан",Hay harvest,11024.4
42110,Дорнод,Dornod,Баян-Уул,Bayan-Uul,Гар тэжээл,Handmade fodder,20
42110,Дорнод,Dornod,Баян-Уул,Bayan-Uul,Хужир шүү,Mineral fodder,226
42113,Дорнод,Dornod,Булган,Bulgan,"Бэлтгэсэн өвс, хадлан",Hay harvest,7247
42113,Дорнод,Dornod,Булган,Bulgan,Гар тэжээл,Handmade fodder,2
42113,Дорнод,Dornod,Булган,Bulgan,Хужир шүү,Mineral fodder,75
42116,Дорнод,Dornod,Гурванзагал,Gurvanzagal,"Бэлтгэсэн өвс, хадлан",Hay harvest,5869
42116,Дорнод,Dornod,Гурванзагал,Gurvanzagal,Гар тэжээл,Handmade fodder,5.6
42116,Дорнод,Dornod,Гурванзагал,Gurvanzagal,Хужир шүү,Mineral fodder,43
42119,Дорнод,Dornod,Дашбалбар,Dashbalbar,"Бэлтгэсэн өвс, хадлан",Hay harvest,10550.8
42119,Дорнод,Dornod,Дашбалбар,Dashbalbar,Гар тэжээл,Handmade fodder,31
42119,Дорнод,Dornod,Дашбалбар,Dashbalbar,Хужир шүү,Mineral fodder,288
42122,Дорнод,Dornod,Матад,Matad,"Бэлтгэсэн өвс, хадлан",Hay harvest,5160
42122,Дорнод,Dornod,Матад,Matad,Гар тэжээл,Handmade fodder,10
42122,Дорнод,Dornod,Матад,Matad,Хужир шүү,Mineral fodder,163
42125,Дорнод,Dornod,Сэргэлэн,Sergelen,"Бэлтгэсэн өвс, хадлан",Hay harvest,7036.2
42128,Дорнод,Dornod,Халхгол,Khalkhgol,Тэжээлийн ургамал,Fodder crops,2613
42128,Дорнод,Dornod,Халхгол,Khalkhgol,"Бэлтгэсэн өвс, хадлан",Hay harvest,3876.4
42128,Дорнод,Dornod,Халхгол,Khalkhgol,Гар тэжээл,Handmade fodder,2
42128,Дорнод,Dornod,Халхгол,Khalkhgol,Хужир шүү,Mineral fodder,2
42131,Дорнод,Dornod,Хөлөнбуйр,Khulunbuir,"Бэлтгэсэн өвс, хадлан",Hay harvest,7726
42131,Дорнод,Dornod,Хөлөнбуйр,Khulunbuir,Хужир шүү,Mineral fodder,759
42134,Дорнод,Dornod,Цагаан-Овоо,Tsagaan-Ovoo,Тэжээлийн ургамал,Fodder crops,73.3
42134,Дорнод,Dornod,Цагаан-Овоо,Tsagaan-Ovoo,"Бэлтгэсэн өвс, хадлан",Hay harvest,8970
42134,Дорнод,Dornod,Цагаан-Овоо,Tsagaan-Ovoo,Гар тэжээл,Handmade fodder,5
42134,Дорнод,Dornod,Цагаан-Овоо,Tsagaan-Ovoo,Хужир шүү,Mineral fodder,283
42137,Дорнод,Dornod,Чойбалсан,Choibalsan,Тэжээлийн ургамал,Fodder crops,180
42137,Дорнод,Dornod,Чойбалсан,Choibalsan,"Бэлтгэсэн өвс, хадлан",Hay harvest,5350
42137,Дорнод,Dornod,Чойбалсан,Choibalsan,Гар тэжээл,Handmade fodder,2.4
42140,Дорнод,Dornod,Чулуунхороот,Chuluunkhoroot,"Бэлтгэсэн өвс, хадлан",Hay harvest,3790
42140,Дорнод,Dornod,Чулуунхороот,Chuluunkhoroot,Гар тэжээл,Handmade fodder,0.5
42140,Дорнод,Dornod,Чулуунхороот,Chuluunkhoroot,Хужир шүү,Mineral fodder,23
42201,Сүхбаатар,Sukhbaatar,Баруун-Урт,Baruun-Urt,"Бэлтгэсэн өвс, хадлан",Hay harvest,2113
42201,Сүхбаатар,Sukhbaatar,Баруун-Урт,Baruun-Urt,Гар тэжээл,Handmade fodder,50.3
42201,Сүхбаатар,Sukhbaatar,Баруун-Урт,Baruun-Urt,Хужир шүү,Mineral fodder,808
42204,Сүхбаатар,Sukhbaatar,Асгат,Asgat,"Бэлтгэсэн өвс, хадлан",Hay harvest,2107.4
42204,Сүхбаатар,Sukhbaatar,Асгат,Asgat,Гар тэжээл,Handmade fodder,7
42204,Сүхбаатар,Sukhbaatar,Асгат,Asgat,Хужир шүү,Mineral fodder,338.8
42207,Сүхбаатар,Sukhbaatar,Баяндэлгэр,Bayandelger,"Бэлтгэсэн өвс, хадлан",Hay harvest,1419.7
42207,Сүхбаатар,Sukhbaatar,Баяндэлгэр,Bayandelger,Гар тэжээл,Handmade fodder,16.13
42207,Сүхбаатар,Sukhbaatar,Баяндэлгэр,Bayandelger,Хужир шүү,Mineral fodder,735.3
42213,Сүхбаатар,Sukhbaatar,Мөнххаан,Munkhkhaan,"Бэлтгэсэн өвс, хадлан",Hay harvest,661.35
42213,Сүхбаатар,Sukhbaatar,Мөнххаан,Munkhkhaan,Гар тэжээл,Handmade fodder,5
42213,Сүхбаатар,Sukhbaatar,Мөнххаан,Munkhkhaan,Хужир шүү,Mineral fodder,12945
42216,Сүхбаатар,Sukhbaatar,Наран,Naran,"Бэлтгэсэн өвс, хадлан",Hay harvest,858
42216,Сүхбаатар,Sukhbaatar,Наран,Naran,Гар тэжээл,Handmade fodder,32
42216,Сүхбаатар,Sukhbaatar,Наран,Naran,Хужир шүү,Mineral fodder,81.6
42219,Сүхбаатар,Sukhbaatar,Онгон,Ongon,"Бэлтгэсэн өвс, хадлан",Hay harvest,539
42219,Сүхбаатар,Sukhbaatar,Онгон,Ongon,Гар тэжээл,Handmade fodder,8
42219,Сүхбаатар,Sukhbaatar,Онгон,Ongon,Хужир шүү,Mineral fodder,134.5
42222,Сүхбаатар,Sukhbaatar,Сүхбаатар,Sukhbaatar,"Бэлтгэсэн өвс, хадлан",Hay harvest,1011.5
42222,Сүхбаатар,Sukhbaatar,Сүхбаатар,Sukhbaatar,Гар тэжээл,Handmade fodder,15
42222,Сүхбаатар,Sukhbaatar,Сүхбаатар,Sukhbaatar,Хужир шүү,Mineral fodder,1113
42225,Сүхбаатар,Sukhbaatar,Түвшинширээ,Tuvshinshiree,"Бэлтгэсэн өвс, хадлан",Hay harvest,402
42225,Сүхбаатар,Sukhbaatar,Түвшинширээ,Tuvshinshiree,Гар тэжээл,Handmade fodder,60
42225,Сүхбаатар,Sukhbaatar,Түвшинширээ,Tuvshinshiree,Хужир шүү,Mineral fodder,296.5
42228,Сүхбаатар,Sukhbaatar,Түмэнцогт,Tumentsogt,"Бэлтгэсэн өвс, хадлан",Hay harvest,1901.45
42228,Сүхбаатар,Sukhbaatar,Түмэнцогт,Tumentsogt,Гар тэжээл,Handmade fodder,9
42228,Сүхбаатар,Sukhbaatar,Түмэнцогт,Tumentsogt,Хужир шүү,Mineral fodder,237
42231,Сүхбаатар,Sukhbaatar,Уулбаян,Uulbayan,"Бэлтгэсэн өвс, хадлан",Hay harvest,542.9
42231,Сүхбаатар,Sukhbaatar,Уулбаян,Uulbayan,Гар тэжээл,Handmade fodder,11.33
42231,Сүхбаатар,Sukhbaatar,Уулбаян,Uulbayan,Хужир шүү,Mineral fodder,273.2
42234,Сүхбаатар,Sukhbaatar,Халзан,Khalzan,"Бэлтгэсэн өвс, хадлан",Hay harvest,385
42234,Сүхбаатар,Sukhbaatar,Халзан,Khalzan,Хужир шүү,Mineral fodder,228.5
42237,Сүхбаатар,Sukhbaatar,Эрдэнэцагаан,Erdenetsagaan,Тэжээлийн ургамал,Fodder crops,2660
42237,Сүхбаатар,Sukhbaatar,Эрдэнэцагаан,Erdenetsagaan,"Бэлтгэсэн өвс, хадлан",Hay harvest,2734.65
42237,Сүхбаатар,Sukhbaatar,Эрдэнэцагаан,Erdenetsagaan,Гар тэжээл,Handmade fodder,30
